site_code,obs_time,water_level,flow,rainfall
SH00105,2024-01-05 00:00,19.28,467.43,8.84
SH00152,2024-01-05 00:10,13.52,232.75,30.21
SH00002,2024-01-05 00:20,17.92,493.79,40.97
SH00032,2024-01-05 00:30,26.78,313.87,25.01
SH00092,2024-01-05 00:40,10.15,118.05,20.9
SH00148,2024-01-05 00:50,14.79,159.58,18.68
SH00022,2024-01-05 01:00,22.07,50.93,32.31
SH00088,2024-01-05 01:10,18.61,219.55,9.21
SH00174,2024-01-05 01:20,15.62,271.5,25.71
SH00080,2024-01-05 01:30,10.05,252.27,49.88
SH00001,2024-01-05 01:40,15.71,400.84,36.35
SH00060,2024-01-05 01:50,11.66,223.28,31.38
SH00020,2024-01-05 02:00,15.7,219.58,22.05
SH00004,2024-01-05 02:10,25.65,103.22,14.79
SH00158,2024-01-05 02:20,23.99,96.98,4.01
SH00108,2024-01-05 02:30,24.23,202.99,17.23
SH00108,2024-01-05 02:40,11.34,61.93,28.77
SH00166,2024-01-05 02:50,16.42,296.35,20.34
SH00016,2024-01-05 03:00,13.12,160.66,33.76
SH00175,2024-01-05 03:10,28.55,60.82,31.46
SH00086,2024-01-05 03:20,14.92,118.03,34.2
SH00040,2024-01-05 03:30,11.43,112.13,40.94
SH00132,2024-01-05 03:40,17.35,149.3,24.9
SH00156,2024-01-05 03:50,16.23,59.71,1.45
SH00087,2024-01-05 04:00,25.46,160.55,37.62
SH00063,2024-01-05 04:10,24.06,82.92,7.16
SH00161,2024-01-05 04:20,20.04,221.04,30.63
SH00138,2024-01-05 04:30,24.27,96.48,32.96
SH00106,2024-01-05 04:40,16.85,82.21,49.27
SH00036,2024-01-05 04:50,10.82,94.26,13.74
SH00091,2024-01-05 05:00,13.27,242.59,14.64
SH00057,2024-01-05 05:10,27.43,215.96,40.27
SH00081,2024-01-05 05:20,28.86,149.27,40.39
SH00094,2024-01-05 05:30,23.45,191.31,37.57
SH00067,2024-01-05 05:40,20.58,280.09,29.43
SH00148,2024-01-05 05:50,15.76,215.42,6.02
SH00081,2024-01-05 06:00,10.12,235.97,6.48
SH00137,2024-01-05 06:10,28.58,436.44,7.15
SH00033,2024-01-05 06:20,25.01,444.12,35.55
SH00082,2024-01-05 06:30,24.04,326.25,29.22
SH00069,2024-01-05 06:40,27.33,82.83,28.78
SH00169,2024-01-05 06:50,17.42,51.97,7.37
SH00119,2024-01-05 07:00,21.0,435.66,46.75
SH00002,2024-01-05 07:10,15.74,205.2,24.64
SH00036,2024-01-05 07:20,17.47,438.81,14.57
SH00053,2024-01-05 07:30,14.6,324.93,6.7
SH00037,2024-01-05 07:40,25.48,136.88,32.26
SH00146,2024-01-05 07:50,23.97,171.38,3.2
SH00114,2024-01-05 08:00,10.24,138.71,31.51
SH00134,2024-01-05 08:10,18.53,51.95,3.37
SH00039,2024-01-05 08:20,10.54,477.12,2.45
SH00075,2024-01-05 08:30,20.07,170.79,19.38
SH00140,2024-01-05 08:40,14.07,496.78,10.63
SH00098,2024-01-05 08:50,10.46,405.49,8.32
SH00104,2024-01-05 09:00,19.98,883.03,4.29
SH00164,2024-01-05 09:10,23.54,322.97,14.3
SH00035,2024-01-05 09:20,10.48,493.42,45.86
SH00014,2024-01-05 09:30,12.27,134.51,13.08
SH00145,2024-01-05 09:40,28.61,218.39,41.24
SH00020,2024-01-05 09:50,12.17,199.31,19.58
SH00136,2024-01-05 10:00,24.31,452.56,32.11
SH00135,2024-01-05 10:10,24.67,309.68,37.87
SH00164,2024-01-05 10:20,11.36,176.83,13.6
SH00131,2024-01-05 10:30,16.8,359.2,41.68
SH00027,2024-01-05 10:40,15.49,340.58,23.87
SH00013,2024-01-05 10:50,13.94,331.01,0.6
SH00082,2024-01-05 11:00,17.63,251.32,24.35
SH00010,2024-01-05 11:10,11.82,467.21,1.86
SH00169,2024-01-05 11:20,12.05,453.86,26.36
SH00124,2024-01-05 11:30,24.03,246.17,5.34
SH00133,2024-01-05 11:40,29.56,100.77,28.44
SH00113,2024-01-05 11:50,17.12,381.13,26.07
SH00017,2024-01-05 12:00,19.53,68.76,16.04
SH00138,2024-01-05 12:10,14.15,135.32,17.83
SH00109,2024-01-05 12:20,16.54,367.52,27.27
SH00064,2024-01-05 12:30,21.57,316.97,38.05
SH00103,2024-01-05 12:40,23.19,92.42,45.27
SH00012,2024-01-05 12:50,11.33,198.61,40.72
SH00125,2024-01-05 13:00,22.1,643.61,40.74
SH00053,2024-01-05 13:10,13.15,421.58,8.94
SH00144,2024-01-05 13:20,26.22,149.89,15.83
SH00016,2024-01-05 13:30,13.29,106.6,25.89
SH00062,2024-01-05 13:40,10.09,794.97,40.91
SH00033,2024-01-05 13:50,27.72,429.07,31.95
SH00043,2024-01-05 14:00,29.0,407.01,23.46
SH00030,2024-01-05 14:10,12.42,391.98,14.62
SH00124,2024-01-05 14:20,23.05,464.69,9.92
SH00114,2024-01-05 14:30,28.15,115.89,2.4
SH00037,2024-01-05 14:40,13.87,353.81,24.44
SH00090,2024-01-05 14:50,24.78,267.54,41.08
SH00025,2024-01-05 15:00,25.15,425.4,39.19
SH00174,2024-01-05 15:10,21.59,333.9,5.42
SH00090,2024-01-05 15:20,25.44,231.19,22.76
SH00175,2024-01-05 15:30,17.55,934.61,9.74
SH00039,2024-01-05 15:40,13.23,420.85,14.08
SH00175,2024-01-05 15:50,24.25,138.32,22.94
SH00033,2024-01-05 16:00,26.76,310.75,38.01
SH00004,2024-01-05 16:10,19.17,212.83,14.23
SH00030,2024-01-05 16:20,16.69,404.87,29.34
SH00010,2024-01-05 16:30,24.9,93.28,3.46
SH00108,2024-01-05 16:40,10.18,276.76,6.73
SH00054,2024-01-05 16:50,23.39,430.11,45.49
SH00053,2024-01-05 17:00,14.41,180.06,25.02
SH00023,2024-01-05 17:10,22.0,98.51,28.52
SH00065,2024-01-05 17:20,17.69,486.63,35.54
SH00100,2024-01-05 17:30,27.06,355.45,12.0
SH00024,2024-01-05 17:40,28.85,477.37,34.63
SH00094,2024-01-05 17:50,12.93,283.3,15.52
SH00152,2024-01-05 18:00,28.03,194.82999999999998,24.9
SH00177,2024-01-05 18:10,27.61,353.89,7.06
SH00023,2024-01-05 18:20,16.08,385.83,39.5
SH00144,2024-01-05 18:30,25.31,175.91,41.2
SH00167,2024-01-05 18:40,14.06,75.66,32.25
SH00082,2024-01-05 18:50,27.97,430.26,45.48
SH00052,2024-01-05 19:00,26.24,90.23,2.91
SH00135,2024-01-05 19:10,26.42,314.89,3.3
SH00001,2024-01-05 19:20,26.19,189.38,41.2
SH00165,2024-01-05 19:30,29.65,153.79,34.95
SH00154,2024-01-05 19:40,25.12,331.25,2.53
SH00068,2024-01-05 19:50,24.13,335.01,20.86
SH00101,2024-01-05 20:00,13.41,462.29,1.24
SH00036,2024-01-05 20:10,23.49,243.09,3.34
SH00147,2024-01-05 20:20,16.06,256.49,34.87
SH00001,2024-01-05 20:30,27.44,460.11,11.01
SH00023,2024-01-05 20:40,10.73,206.98,27.42
SH00063,2024-01-05 20:50,10.17,325.79,24.86
SH00129,2024-01-05 21:00,15.8,112.78,27.88
