site_code,obs_time,water_level,flow,rainfall
SH00050,2024-01-04 00:00,10.83,399.58,6.53
SH00013,2024-01-04 00:10,18.14,228.14,0.14
SH00153,2024-01-04 00:20,14.62,422.68,22.85
SH00025,2024-01-04 00:30,22.22,150.91,38.4
SH00154,2024-01-04 00:40,11.79,357.19,40.65
SH00077,2024-01-04 00:50,17.56,323.65,43.03
SH00136,2024-01-04 01:00,14.36,474.85,1.46
SH00139,2024-01-04 01:10,26.42,80.1,19.35
SH00052,2024-01-04 01:20,28.78,238.91,0.7
SH00095,2024-01-04 01:30,29.38,237.96,48.49
SH00011,2024-01-04 01:40,17.66,365.19,46.49
SH00101,2024-01-04 01:50,17.24,77.2,29.06
SH00077,2024-01-04 02:00,23.12,248.44,21.57
SH00155,2024-01-04 02:10,25.4,372.78,28.38
SH00155,2024-01-04 02:20,17.54,254.13,6.47
SH00031,2024-01-04 02:30,11.77,485.9,12.79
SH00088,2024-01-04 02:40,28.82,299.66,16.03
SH00132,2024-01-04 02:50,27.0,336.3,47.75
SH00153,2024-01-04 03:00,29.01,327.96,37.0
SH00062,2024-01-04 03:10,24.49,458.35,35.56
SH00098,2024-01-04 03:20,15.27,140.46,16.94
SH00073,2024-01-04 03:30,28.94,488.35,9.33
SH00137,2024-01-04 03:40,14.72,160.49,47.46
SH00177,2024-01-04 03:50,14.82,85.41,41.72
SH00104,2024-01-04 04:00,10.56,491.06,13.35
SH00100,2024-01-04 04:10,28.32,303.67,13.43
SH00151,2024-01-04 04:20,24.24,374.25,49.52
SH00163,2024-01-04 04:30,16.71,139.72,48.35
SH00070,2024-01-04 04:40,17.86,469.04,29.73
SH00017,2024-01-04 04:50,18.62,457.68,6.32
SH00006,2024-01-04 05:00,20.71,458.72,28.63
SH00079,2024-01-04 05:10,20.16,416.64,9.27
SH00096,2024-01-04 05:20,21.51,228.68,42.21
SH00062,2024-01-04 05:30,10.27,441.55,13.81
SH00151,2024-01-04 05:40,29.75,169.56,19.24
SH00171,2024-01-04 05:50,29.07,342.8,29.18
SH00107,2024-01-04 06:00,26.33,185.45,15.84
SH00015,2024-01-04 06:10,19.06,235.69,32.89
SH00175,2024-01-04 06:20,28.07,63.49,32.28
SH00136,2024-01-04 06:30,26.44,463.89,7.1
SH00141,2024-01-04 06:40,18.93,462.27,27.85
SH00169,2024-01-04 06:50,15.59,453.32,21.65
SH00067,2024-01-04 07:00,15.34,356.12,44.51
SH00050,2024-01-04 07:10,22.86,123.62,32.41
SH00136,2024-01-04 07:20,18.22,203.65,37.1
SH00119,2024-01-04 07:30,19.06,309.79,20.02
SH00120,2024-01-04 07:40,10.07,175.4,3.1
SH00162,2024-01-04 07:50,24.01,416.88,40.68
SH00095,2024-01-04 08:00,16.51,283.61,49.2
SH00124,2024-01-04 08:10,27.13,130.18,6.4
SH00170,2024-01-04 08:20,26.93,137.69,21.27
SH00147,2024-01-04 08:30,23.85,105.54,45.92
SH00161,2024-01-04 08:40,23.88,272.47,8.22
SH00097,2024-01-04 08:50,22.45,207.98,7.71
SH00007,2024-01-04 09:00,22.02,133.92,36.31
SH00089,2024-01-04 09:10,12.56,218.09,30.77
SH00175,2024-01-04 09:20,14.26,155.58,8.45
SH00114,2024-01-04 09:30,14.54,327.18,44.68
SH00074,2024-01-04 09:40,17.27,263.16,34.67
SH00091,2024-01-04 09:50,14.51,151.99,21.34
SH00121,2024-01-04 10:00,17.94,458.33,27.56
SH00100,2024-01-04 10:10,22.14,404.56,6.04
SH00052,2024-01-04 10:20,17.62,94.4,24.57
SH00166,2024-01-04 10:30,26.91,420.63,27.68
SH00144,2024-01-04 10:40,22.64,132.3,4.48
SH00162,2024-01-04 10:50,18.69,368.35,13.11
SH00123,2024-01-04 11:00,14.01,249.18,13.13
SH00056,2024-01-04 11:10,29.64,492.11,7.08
SH00005,2024-01-04 11:20,22.69,389.47,14.6
SH00172,2024-01-04 11:30,27.16,304.73,35.87
SH00048,2024-01-04 11:40,13.57,481.26,20.25
SH00159,2024-01-04 11:50,29.86,201.89,18.58
SH00163,2024-01-04 12:00,25.81,265.45,39.94
SH00137,2024-01-04 12:10,11.11,228.57,39.65
SH00002,2024-01-04 12:20,19.71,191.86,42.84
SH00168,2024-01-04 12:30,21.23,116.82,44.42
SH00045,2024-01-04 12:40,18.03,75.8,39.23
SH00122,2024-01-04 12:50,23.14,223.75,15.69
SH00093,2024-01-04 13:00,16.37,305.9,39.96
SH00095,2024-01-04 13:10,11.73,489.81,13.38
SH00173,2024-01-04 13:20,16.84,242.72,0.85
SH00097,2024-01-04 13:30,21.85,145.18,16.05
SH00048,2024-01-04 13:40,1.1999999999999993,411.54,40.56
SH00041,2024-01-04 13:50,23.33,82.0,43.34
SH00170,2024-01-04 14:00,11.8,188.37,47.04
SH00111,2024-01-04 14:10,28.12,329.14,23.14
SH00010,2024-01-04 14:20,21.33,285.45,10.78
SH00124,2024-01-04 14:30,14.63,409.05,49.25
SH00100,2024-01-04 14:40,23.5,62.74,47.96
