site_code,obs_time,water_level,flow,rainfall
SH00164,2024-01-01 00:00,12.23,383.7,12.24
SH00140,2024-01-01 00:10,11.74,239.86,1.49
SH00007,2024-01-01 00:20,21.22,372.21,35.07
SH00072,2024-01-01 00:30,26.19,52.92,40.29
SH00040,2024-01-01 00:40,14.31,393.57,5.11
SH00089,2024-01-01 00:50,22.07,413.21,36.49
SH00097,2024-01-01 01:00,11.58,181.93,31.43
SH00050,2024-01-01 01:10,24.09,70.62,11.39
SH00060,2024-01-01 01:20,27.33,221.06,22.67
SH00091,2024-01-01 01:30,14.19,170.14,46.83
SH00044,2024-01-01 01:40,20.68,160.16,23.11
SH00177,2024-01-01 01:50,21.14,358.08,42.14
SH00009,2024-01-01 02:00,26.1,230.52,3.31
SH00081,2024-01-01 02:10,14.25,274.65,44.23
SH00036,2024-01-01 02:20,14.93,302.62,13.14
SH00103,2024-01-01 02:30,17.24,498.8,6.92
SH00029,2024-01-01 02:40,13.06,121.99,34.02
SH00153,2024-01-01 02:50,29.92,-11.899999999999977,48.55
SH00175,2024-01-01 03:00,27.7,387.9,38.43
SH00041,2024-01-01 03:10,19.07,479.22,43.79
SH00046,2024-01-01 03:20,20.15,97.88,31.27
SH00051,2024-01-01 03:30,13.06,393.13,26.97
SH00001,2024-01-01 03:40,21.98,269.87,5.59
SH00079,2024-01-01 03:50,14.79,158.39,28.37
SH00018,2024-01-01 04:00,29.56,289.72,6.29
SH00043,2024-01-01 04:10,15.3,442.59,21.16
SH00177,2024-01-01 04:20,14.02,190.27,49.76
SH00133,2024-01-01 04:30,19.03,161.56,3.2
SH00151,2024-01-01 04:40,14.4,81.95,31.56
SH00085,2024-01-01 04:50,11.42,157.1,33.45
SH00147,2024-01-01 05:00,21.52,159.35,23.65
SH00169,2024-01-01 05:10,18.62,240.61,23.35
SH00166,2024-01-01 05:20,11.97,231.18,16.97
SH00049,2024-01-01 05:30,20.73,113.08,9.17
SH00020,2024-01-01 05:40,18.86,437.61,27.52
SH00004,2024-01-01 05:50,29.38,466.87,42.43
SH00055,2024-01-01 06:00,37.29,456.1,8.23
SH00117,2024-01-01 06:10,15.7,363.47,36.53
SH00125,2024-01-01 06:20,13.1,183.52,48.44
SH00081,2024-01-01 06:30,11.14,312.88,25.14
SH00131,2024-01-01 06:40,11.6,133.62,29.75
SH00031,2024-01-01 06:50,28.83,306.35,28.95
SH00169,2024-01-01 07:00,21.67,285.25,46.74
SH00062,2024-01-01 07:10,15.31,108.9,32.28
SH00019,2024-01-01 07:20,10.19,329.52,28.15
SH00130,2024-01-01 07:30,15.3,469.97,44.04
SH00041,2024-01-01 07:40,18.76,294.45,15.13
SH00136,2024-01-01 07:50,10.16,417.7,14.97
SH00035,2024-01-01 08:00,15.29,450.37,37.12
SH00054,2024-01-01 08:10,24.35,141.62,31.71
SH00014,2024-01-01 08:20,1.8499999999999996,240.61,13.83
SH00068,2024-01-01 08:30,13.23,248.83,35.28
SH00177,2024-01-01 08:40,28.08,295.52,41.73
SH00033,2024-01-01 08:50,10.84,214.09,46.65
SH00092,2024-01-01 09:00,14.2,162.29,5.14
SH00105,2024-01-01 09:10,29.48,387.26,46.29
SH00046,2024-01-01 09:20,27.63,61.15,36.83
SH00172,2024-01-01 09:30,27.28,414.84,13.34
SH00010,2024-01-01 09:40,27.17,150.1,40.83
SH00059,2024-01-01 09:50,14.46,347.01,19.92
SH00072,2024-01-01 10:00,17.02,279.23,33.98
SH00008,2024-01-01 10:10,12.31,486.68,8.93
SH00028,2024-01-01 10:20,21.93,205.56,39.32
SH00030,2024-01-01 10:30,17.7,9.45999999999998,12.74
SH00094,2024-01-01 10:40,18.63,476.99,46.04
SH00032,2024-01-01 10:50,24.4,185.15,15.46
SH00076,2024-01-01 11:00,21.09,136.33,33.25
SH00045,2024-01-01 11:10,32.31,185.43,27.4
SH00149,2024-01-01 11:20,22.13,195.01,22.09
SH00044,2024-01-01 11:30,23.18,177.7,33.19
SH00061,2024-01-01 11:40,23.46,151.09,9.96
SH00122,2024-01-01 11:50,22.23,395.82,22.77
SH00179,2024-01-01 12:00,17.68,229.84,7.38
SH00028,2024-01-01 12:10,25.57,148.48,40.21
SH00143,2024-01-01 12:20,14.98,431.75,22.82
SH00144,2024-01-01 12:30,21.91,477.52,44.57
SH00130,2024-01-01 12:40,18.53,458.08,22.3
SH00116,2024-01-01 12:50,15.18,161.26,31.88
SH00161,2024-01-01 13:00,14.78,247.94,35.68
SH00139,2024-01-01 13:10,11.61,117.87,19.15
SH00107,2024-01-01 13:20,18.15,294.18,20.79
SH00150,2024-01-01 13:30,28.92,58.79,44.03
SH00091,2024-01-01 13:40,15.97,225.49,44.58
SH00140,2024-01-01 13:50,26.0,454.02,24.41
SH00100,2024-01-01 14:00,16.72,355.61,20.22
SH00033,2024-01-01 14:10,29.61,290.36,45.35
SH00022,2024-01-01 14:20,22.85,111.06,23.08
SH00055,2024-01-01 14:30,19.09,201.88,43.98
SH00108,2024-01-01 14:40,15.05,86.86,0.97
SH00090,2024-01-01 14:50,14.48,80.88,47.86
SH00064,2024-01-01 15:00,13.99,59.17,7.62
SH00145,2024-01-01 15:10,28.96,259.27,12.81
SH00030,2024-01-01 15:20,25.56,123.69,15.55
SH00148,2024-01-01 15:30,23.55,481.18,19.83
SH00177,2024-01-01 15:40,26.61,159.28,34.86
SH00031,2024-01-01 15:50,25.92,304.67,2.05
SH00018,2024-01-01 16:00,20.12,203.55,42.48
SH00093,2024-01-01 16:10,22.71,422.92,35.37
SH00167,2024-01-01 16:20,15.4,413.69,26.91
SH00152,2024-01-01 16:30,15.37,433.27,41.54
SH00063,2024-01-01 16:40,25.01,306.43,33.41
SH00084,2024-01-01 16:50,13.64,145.45,39.89
SH00180,2024-01-01 17:00,27.6,300.11,25.83
SH00105,2024-01-01 17:10,19.77,391.17,34.53
SH00005,2024-01-01 17:20,11.86,149.72,34.59
SH00122,2024-01-01 17:30,21.07,204.69,49.83
SH00117,2024-01-01 17:40,15.42,163.13,6.03
SH00138,2024-01-01 17:50,29.02,360.57,9.58
SH00151,2024-01-01 18:00,29.53,286.09,14.15
SH00059,2024-01-01 18:10,17.22,186.02,35.4
SH00014,2024-01-01 18:20,21.07,363.84,6.31
SH00004,2024-01-01 18:30,21.48,261.23,22.02
SH00123,2024-01-01 18:40,12.28,79.4,24.59
SH00039,2024-01-01 18:50,12.98,303.28,15.19
SH00107,2024-01-01 19:00,22.13,405.83,11.28
SH00114,2024-01-01 19:10,15.95,314.84,21.44
SH00026,2024-01-01 19:20,28.95,143.5,10.55
SH00045,2024-01-01 19:30,21.04,120.44,20.43
SH00009,2024-01-01 19:40,14.63,368.13,35.15
SH00068,2024-01-01 19:50,25.76,331.28,33.06
SH00140,2024-01-01 20:00,14.5,117.05,13.28
SH00079,2024-01-01 20:10,21.9,420.91,46.06
SH00078,2024-01-01 20:20,23.99,474.2,25.02
SH00011,2024-01-01 20:30,27.79,380.54,30.19
SH00173,2024-01-01 20:40,26.72,308.84,47.54
SH00069,2024-01-01 20:50,21.52,393.4,8.76
SH00072,2024-01-01 21:00,13.63,313.4,31.74
SH00090,2024-01-01 21:10,18.17,194.48,5.23
SH00127,2024-01-01 21:20,15.76,475.34,40.68
SH00081,2024-01-01 21:30,15.05,102.16,38.63
SH00001,2024-01-01 21:40,23.15,294.17,20.66
SH00128,2024-01-01 21:50,22.51,392.0,10.18
SH00113,2024-01-01 22:00,27.62,268.12,1.44
SH00041,2024-01-01 22:10,16.22,56.15,20.4
SH00030,2024-01-01 22:20,19.23,102.86,41.61
SH00131,2024-01-01 22:30,24.11,236.97,24.12
